Area;Item;Year;Value
American Samoa;Food Transport;2020;9.6998
Andorra;Drained organic soils;2000;0
Andorra;Drained organic soils;2020;0
Andorra;Drained organic soils (CO2);2000;0
Andorra;Drained organic soils (CO2);2020;0
Andorra;Drained organic soils (N2O);2000;0
Andorra;Drained organic soils (N2O);2020;0
Andorra;On-farm energy use;2000;74.1022
Andorra;On-farm energy use;2020;51.8471
Andorra;Forestland;2000;0
Andorra;Forestland;2020;0
Andorra;Net Forest conversion;2000;0
Andorra;Net Forest conversion;2020;0
Andorra;Savanna fires;2000;0
Andorra;Savanna fires;2020;0
Andorra;Fires in organic soils;2000;0
Andorra;Fires in organic soils;2020;0
Andorra;Forest fires;2000;0
Andorra;Forest fires;2020;0
Andorra;Fires in humid tropical forests;2000;0
Andorra;Fires in humid tropical forests;2020;0
Andorra;Agrifood Systems Waste Disposal;2000;14.6926
Andorra;Agrifood Systems Waste Disposal;2020;15.9781
Andorra;Food Processing;2000;0.6538
Andorra;Food Retail;2000;0.3546
Andorra;Food Retail;2020;10.2423
Andorra;Food Household Consumption;2000;2.7888
Andorra;Food Household Consumption;2020;2.2314
Andorra;Food Transport;2000;43.939
Andorra;Food Transport;2020;30.7624
Andorra;Energy;2000;538.3955
Andorra;Energy;2020;441.2105
Andorra;IPPU;2000;28.8858
Andorra;IPPU;2020;36.178
Andorra;Waste;2000;32.3312
Andorra;Waste;2020;27.4235
Andorra;Other;2000;1.9981
Andorra;Other;2020;0.8268
Angola;Crop Residues;2000;50.2997
Angola;Crop Residues;2020;214.678
Angola;Rice Cultivation;2000;33.6571
Angola;Rice Cultivation;2020;66.0442
Angola;Burning - Crop residues;2000;65.5532
Angola;Burning - Crop residues;2020;202.1864
Angola;Enteric Fermentation;2000;4052.3
Angola;Enteric Fermentation;2020;5559.6484
Angola;Manure Management;2000;263.2994
Angola;Manure Management;2020;767.3734
Angola;Manure left on Pasture;2000;1857.7906
Angola;Manure left on Pasture;2020;2684.117
Angola;Manure applied to Soils;2000;100.6551
Angola;Manure applied to Soils;2020;374.9228
Angola;Synthetic Fertilizers;2000;7.7247
Angola;Synthetic Fertilizers;2020;131.7681
Angola;Drained organic soils;2000;360.4346
Angola;Drained organic soils;2020;329.8156
Angola;Drained organic soils (CO2);2000;345.4496
Angola;Drained organic soils (CO2);2020;316.1237
Angola;Drained organic soils (N2O);2000;14.985
Angola;Drained organic soils (N2O);2020;13.6919
Angola;On-farm energy use;2000;3.5099
Angola;On-farm energy use;2020;34.6515
Angola;Forestland;2000;0
Angola;Forestland;2020;0
Angola;Net Forest conversion;2000;9847.2211
Angola;Net Forest conversion;2020;35168.7283
Angola;Savanna fires;2000;22054.1589
Angola;Savanna fires;2020;24245.0015
Angola;Fires in organic soils;2000;0
Angola;Fires in organic soils;2020;0
Angola;Forest fires;2000;14201.1636
Angola;Forest fires;2020;13139.8211
Angola;Fires in humid tropical forests;2000;14039.7799
Angola;Fires in humid tropical forests;2020;12737.9436
Angola;Agrifood Systems Waste Disposal;2000;1812.8701
Angola;Agrifood Systems Waste Disposal;2020;2705.5988
Angola;Pesticides Manufacturing;2000;1
Angola;Pesticides Manufacturing;2020;1
Angola;Food Packaging;2020;96.3619
Angola;Food Retail;2000;52.7605
Angola;Food Retail;2020;253.6741
Angola;Food Household Consumption;2000;168.0708
Angola;Food Household Consumption;2020;1326.7464
Angola;Food Transport;2000;127.1036
Angola;Food Transport;2020;568.2273
Angola;Energy;2000;57419.42
Angola;Energy;2020;61578
Angola;IPPU;2000;213.439
Angola;IPPU;2020;1422.7462
Angola;Waste;2000;2810.235
Angola;Waste;2020;5380.7
Angola;Other;2000;163.505
Angola;Other;2020;418.7
Anguilla;Drained organic soils;2000;0
Anguilla;Drained organic soils;2020;0
Anguilla;Drained organic soils (CO2);2000;0
Anguilla;Drained organic soils (CO2);2020;0
Anguilla;Drained organic soils (N2O);2000;0
Anguilla;Drained organic soils (N2O);2020;0
Anguilla;On-farm energy use;2000;2.4571
Anguilla;On-farm energy use;2020;6.0374
Anguilla;Savanna fires;2000;0
Anguilla;Savanna fires;2020;0
Anguilla;Fires in organic soils;2000;0
Anguilla;Fires in organic soils;2020;0
Anguilla;Forest fires;2000;0
Anguilla;Forest fires;2020;0
Anguilla;Fires in humid tropical forests;2000;0
Anguilla;Fires in humid tropical forests;2020;0
Anguilla;On-farm Electricity Use;2000;1.7964
Anguilla;On-farm Electricity Use;2020;1.5826
Anguilla;Food Retail;2000;3.4431
Anguilla;Food Retail;2020;6.8042
Anguilla;Food Household Consumption;2000;7.919
Anguilla;Food Household Consumption;2020;15.5126
Anguilla;Food Transport;2000;2.9801
Anguilla;Food Transport;2020;4.161
Anguilla;Energy;2000;88.1489
Anguilla;Energy;2020;134.4075
Anguilla;IPPU;2000;0
Anguilla;IPPU;2020;0
Anguilla;Waste;2000;3.164
Anguilla;Waste;2020;4.396
Anguilla;Other;2000;0.1397
Anguilla;Other;2020;0.2176
Antigua and Barbuda;Crop Residues;2000;0.0025
Antigua and Barbuda;Crop Residues;2020;0.0005
Antigua and Barbuda;Burning - Crop residues;2000;0.0028
Antigua and Barbuda;Burning - Crop residues;2020;0.0003
Antigua and Barbuda;Enteric Fermentation;2000;31.4578
Antigua and Barbuda;Enteric Fermentation;2020;14.0763
Antigua and Barbuda;Manure Management;2000;1.5075
Antigua and Barbuda;Manure Management;2020;1.4491
Antigua and Barbuda;Manure left on Pasture;2000;9.0903
Antigua and Barbuda;Manure left on Pasture;2020;4.7067
Antigua and Barbuda;Manure applied to Soils;2000;1.7455
Antigua and Barbuda;Manure applied to Soils;2020;1.4503
Antigua and Barbuda;Synthetic Fertilizers;2020;0.009
Antigua and Barbuda;Drained organic soils;2000;0
Antigua and Barbuda;Drained organic soils;2020;0
Antigua and Barbuda;Drained organic soils (CO2);2000;0
Antigua and Barbuda;Drained organic soils (CO2);2020;0
Antigua and Barbuda;Drained organic soils (N2O);2000;0
Antigua and Barbuda;Drained organic soils (N2O);2020;0
Antigua and Barbuda;On-farm energy use;2000;15.699
Antigua and Barbuda;On-farm energy use;2020;36.4125
Antigua and Barbuda;Savanna fires;2000;0
Antigua and Barbuda;Savanna fires;2020;0
Antigua and Barbuda;Fires in organic soils;2000;0
Antigua and Barbuda;Fires in organic soils;2020;0
Antigua and Barbuda;Forest fires;2000;0
Antigua and Barbuda;Forest fires;2020;0
Antigua and Barbuda;Fires in humid tropical forests;2000;0
Antigua and Barbuda;Fires in humid tropical forests;2020;0
Antigua and Barbuda;Agrifood Systems Waste Disposal;2000;32.6728
Antigua and Barbuda;Agrifood Systems Waste Disposal;2020;34.584
Antigua and Barbuda;Pesticides Manufacturing;2000;0
Antigua and Barbuda;Pesticides Manufacturing;2020;1
Antigua and Barbuda;On-farm Electricity Use;2000;5.003
Antigua and Barbuda;On-farm Electricity Use;2020;6.0405
Antigua and Barbuda;Food Retail;2000;10.4361
Antigua and Barbuda;Food Retail;2020;39.6455
Antigua and Barbuda;Food Household Consumption;2000;9.8749
Antigua and Barbuda;Food Household Consumption;2020;19.3886
Antigua and Barbuda;Food Transport;2000;15.6976
Antigua and Barbuda;Food Transport;2020;21.6821
Antigua and Barbuda;Energy;2000;297.3487
Antigua and Barbuda;Energy;2020;476.6549
Antigua and Barbuda;IPPU;2000;5.5424
Antigua and Barbuda;IPPU;2020;21.4993
Antigua and Barbuda;Waste;2000;52.7699
Antigua and Barbuda;Waste;2020;49.0628
Antigua and Barbuda;Other;2000;5.194
Antigua and Barbuda;Other;2020;10.2555
Argentina;Crop Residues;2000;3509.9086
Argentina;Crop Residues;2020;7405.2933
Argentina;Rice Cultivation;2000;1482.152
Argentina;Rice Cultivation;2020;1452.752
Argentina;Burning - Crop residues;2000;552.0847
Argentina;Burning - Crop residues;2020;1021.5613
Argentina;Enteric Fermentation;2000;81746.7112
Argentina;Enteric Fermentation;2020;90313.3192
Argentina;Manure Management;2000;1974.6752
Argentina;Manure Management;2020;2473.7841
Argentina;Manure left on Pasture;2000;21507.648
Argentina;Manure left on Pasture;2020;23897.7836
Argentina;Manure applied to Soils;2000;943.926
Argentina;Manure applied to Soils;2020;1117.4751
Argentina;Synthetic Fertilizers;2000;2749.0344
Argentina;Synthetic Fertilizers;2020;7726.8546
Argentina;Drained organic soils;2000;5729.7736
Argentina;Drained organic soils;2020;5801.1533
Argentina;Drained organic soils (CO2);2000;5154.3491
Argentina;Drained organic soils (CO2);2020;5215.7866
Argentina;Drained organic soils (N2O);2000;575.4245
Argentina;Drained organic soils (N2O);2020;585.3667
Argentina;On-farm energy use;2000;8899.1807
Argentina;On-farm energy use;2020;11909.0686
Argentina;Forestland;2000;-40102.7293
Argentina;Forestland;2020;-27952.2907
Argentina;Net Forest conversion;2000;81523.288
Argentina;Net Forest conversion;2020;54702.45
Argentina;Savanna fires;2000;6818.4625
Argentina;Savanna fires;2020;3569.1449
Argentina;Fires in organic soils;2000;0
Argentina;Fires in organic soils;2020;0
Argentina;Forest fires;2000;2341.6242
Argentina;Forest fires;2020;1362.1267
Argentina;Fires in humid tropical forests;2000;1029.1878
Argentina;Fires in humid tropical forests;2020;603.3137
Argentina;Agrifood Systems Waste Disposal;2000;10575.7842
Argentina;Agrifood Systems Waste Disposal;2020;11666.4608
Argentina;Fertilizers Manufacturing;2000;1158.2679
Argentina;Fertilizers Manufacturing;2020;940.8151
Argentina;Pesticides Manufacturing;2000;2565
Argentina;Pesticides Manufacturing;2020;7467
Argentina;On-farm Electricity Use;2000;155.3668
Argentina;On-farm Electricity Use;2020;190.6029
Argentina;Food Processing;2000;1072.1353
Argentina;Food Processing;2020;8932.6734
Argentina;Food Packaging;2000;435.3228
Argentina;Food Packaging;2020;2140.0216
Argentina;Food Retail;2000;648.8029
Argentina;Food Retail;2020;8035.158
Argentina;Food Household Consumption;2000;3819.9647
Argentina;Food Household Consumption;2020;5230.9596
Argentina;Food Transport;2000;4012.1942
Argentina;Food Transport;2020;5468.9167
Argentina;Energy;2000;164604.3
Argentina;Energy;2020;189359.8
Argentina;IPPU;2000;6137.9048
Argentina;IPPU;2020;12201.3954
Argentina;Waste;2000;18513.1
Argentina;Waste;2020;15041.3
Argentina;Other;2000;808.25
Argentina;Other;2020;1038.8
Armenia;Crop Residues;2000;21.4222
Armenia;Crop Residues;2020;20.5825
Armenia;Burning - Crop residues;2000;4.2541
Armenia;Burning - Crop residues;2020;2.3228
Armenia;Enteric Fermentation;2000;608.6436
Armenia;Enteric Fermentation;2020;714.7345
Armenia;Manure Management;2000;37.5964
Armenia;Manure Management;2020;61.0266
Armenia;Manure left on Pasture;2000;317.8122
Armenia;Manure left on Pasture;2020;370.4351
Armenia;Manure applied to Soils;2000;16.3575
Armenia;Manure applied to Soils;2020;30.1735
Armenia;Synthetic Fertilizers;2000;38.6237
Armenia;Synthetic Fertilizers;2020;497.1776
Armenia;Drained organic soils;2000;0
Armenia;Drained organic soils;2020;0
Armenia;Drained organic soils (CO2);2000;0
Armenia;Drained organic soils (CO2);2020;0
Armenia;Drained organic soils (N2O);2000;0
Armenia;Drained organic soils (N2O);2020;0
Armenia;On-farm energy use;2000;99.1031
Armenia;On-farm energy use;2020;225.3384
Armenia;Forestland;2000;76.3667
Armenia;Forestland;2020;0
Armenia;Net Forest conversion;2000;54.2254
Armenia;Net Forest conversion;2020;36.0668
Armenia;Savanna fires;2000;1.7504
Armenia;Savanna fires;2020;0.7411
Armenia;Fires in organic soils;2000;0
Armenia;Fires in organic soils;2020;0
Armenia;Forest fires;2000;0
Armenia;Forest fires;2020;5.0696
Armenia;Fires in humid tropical forests;2000;0
Armenia;Fires in humid tropical forests;2020;0
